frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_GROIN_x,LEFT_GROIN_y,LEFT_GROIN_z,RIGHT_GROIN_x,RIGHT_GROIN_y,RIGHT_GROIN_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_BIG_TOE_x,LEFT_BIG_TOE_y,LEFT_BIG_TOE_z,LEFT_LITTLE_TOE_x,LEFT_LITTLE_TOE_y,LEFT_LITTLE_TOE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_BIG_TOE_x,RIGHT_BIG_TOE_y,RIGHT_BIG_TOE_z,RIGHT_LITTLE_TOE_x,RIGHT_LITTLE_TOE_y,RIGHT_LITTLE_TOE_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z
49,0.62711114,1.6120085,0.3438239,0.5917568,1.6407417,0.35263577,0.6578031,1.6381159,0.36622646,0.53865486,1.6087698,0.41833258,0.69987893,1.6024643,0.42364398,0.44481578,1.4011618,0.44621065,0.77737945,1.3727957,0.50480455,0.37565824,1.1499833,0.44891825,0.85591483,1.1149994,0.5404498,0.36025938,0.9833252,0.38545465,0.88143396,0.9406097,0.4694217,0.5145731,0.84799534,0.4118321,0.72117805,0.84059626,0.42716947,0.5373732,0.4639177,0.448462,0.715328,0.44899854,0.46898413,0.5473239,0.08549728,0.49680623,0.69135594,0.08358849,0.51633996,0.54942656,0.024583988,0.3532884,0.49678835,0.022361869,0.40899888,0.56147534,0.024648085,0.5748643,0.71164536,0.014125813,0.41286126,0.7562456,0.019156063,0.44989488,0.65827316,0.035543937,0.5577065
50,0.626734,1.6114811,0.34256276,0.5907069,1.6407295,0.34777424,0.65855736,1.6381153,0.36107025,0.53760606,1.6087818,0.4133556,0.70097494,1.6014925,0.42533103,0.44402233,1.4011607,0.44810286,0.7769936,1.3742374,0.503473,0.37702444,1.1497297,0.44720307,0.8576467,1.1174276,0.5460088,0.3620468,0.9856088,0.38059297,0.8816669,0.94454366,0.47202072,0.5137887,0.8471827,0.4137186,0.7204456,0.839773,0.42913195,0.53691727,0.46485457,0.4470609,0.7149331,0.44894418,0.46745765,0.54645044,0.08496827,0.49840727,0.6898031,0.0828726,0.5142068,0.5482597,0.023243925,0.35851154,0.49599192,0.022741565,0.4108208,0.5633368,0.026577756,0.56953937,0.71311754,0.013348386,0.4110318,0.75656587,0.018472426,0.45211172,0.65562516,0.0348586,0.5598265
51,0.6273506,1.6100508,0.34000978,0.58954304,1.6401731,0.34560952,0.6573357,1.6366531,0.35876703,0.5371428,1.6067773,0.41476235,0.699624,1.6019726,0.42300257,0.4429214,1.4017733,0.4461588,0.7763059,1.3743248,0.50455785,0.3770279,1.1523689,0.44580355,0.8572116,1.1192336,0.54365,0.3613048,0.99196845,0.37586066,0.88192886,0.9485585,0.46926472,0.512599,0.8482987,0.41171888,0.71981066,0.84024507,0.43038413,0.5361006,0.4610032,0.4517467,0.7143641,0.44774053,0.4686388,0.5445803,0.0865586,0.49251774,0.6888001,0.082210764,0.5188754,0.5477525,0.02329891,0.3601199,0.49493632,0.022541652,0.40880036,0.561359,0.029279696,0.5635173,0.710265,0.015881464,0.40574488,0.7548148,0.018666977,0.4530426,0.65581924,0.035093468,0.56048346
52,0.6261492,1.6064771,0.3420936,0.59049946,1.6380464,0.34417334,0.6588991,1.6349272,0.36100116,0.5362861,1.6065806,0.41362953,0.70042545,1.6027199,0.42177963,0.44366112,1.4003239,0.44782874,0.77668566,1.3738456,0.50657564,0.37605438,1.1510665,0.44763088,0.85752267,1.1189632,0.5457198,0.36191475,0.9949437,0.3707397,0.88286257,0.9495928,0.46472847,0.51183003,0.8488288,0.41048446,0.71881753,0.8416999,0.42932925,0.5364889,0.4607924,0.44644538,0.7148045,0.44906604,0.47057196,0.54444915,0.08611712,0.49491143,0.6878442,0.08252925,0.5176866,0.5494922,0.023958653,0.36235157,0.4967076,0.0212896,0.41076812,0.5591013,0.027369866,0.5588824,0.7098914,0.0155517,0.40816152,0.75378424,0.018093495,0.4517858,0.65558785,0.03371923,0.56274396
53,0.6251548,1.6029559,0.33789495,0.5891994,1.6349274,0.3432885,0.6578968,1.6303658,0.3566799,0.5368919,1.6044531,0.41240373,0.69929886,1.6001282,0.41746414,0.44317102,1.3989396,0.45052513,0.77611494,1.3720382,0.50570244,0.37606478,1.1515535,0.44711533,0.856168,1.11721,0.5410411,0.3635652,0.9978816,0.36326203,0.8821235,0.9485202,0.46391916,0.51248336,0.848012,0.40924847,0.719814,0.8393027,0.4315873,0.535827,0.46088853,0.44912815,0.7135517,0.45056203,0.46622887,0.5451186,0.08465284,0.49344423,0.68882185,0.08334333,0.5197716,0.5492685,0.023494184,0.36173853,0.49405232,0.02252818,0.4066874,0.5584752,0.026174286,0.5612641,0.70846623,0.016078038,0.40727186,0.7532429,0.018627726,0.45097542,0.6536831,0.03363706,0.56469566
54,0.6253684,1.5996612,0.33496693,0.59051627,1.6315107,0.34069464,0.6580346,1.6279403,0.35372695,0.5376936,1.6024605,0.4061549,0.70003223,1.5972289,0.41792044,0.44438672,1.3963238,0.45123363,0.7748831,1.3694891,0.50626594,0.37900403,1.1495789,0.44070563,0.85576135,1.1160249,0.5418593,0.36566892,0.9980369,0.35778216,0.88277525,0.9482983,0.46093884,0.5117243,0.8462827,0.41025564,0.7194734,0.83772916,0.43179917,0.53612304,0.46253705,0.44625106,0.7142649,0.4505312,0.46676946,0.5471966,0.08323132,0.494208,0.689943,0.08463875,0.5170006,0.5492558,0.024238825,0.3622351,0.49509144,0.022297757,0.40733477,0.5605397,0.025832003,0.5618977,0.7073312,0.015762914,0.40812075,0.7538719,0.018392405,0.45141602,0.65600425,0.03390446,0.5622789
55,0.62487984,1.5951678,0.33679762,0.58905405,1.6270132,0.34218845,0.6568318,1.6229979,0.35194656,0.5366943,1.5994056,0.40426192,0.6987509,1.5923371,0.41601515,0.4453802,1.394671,0.4489309,0.7752013,1.3688622,0.5040613,0.37828004,1.1465702,0.4385767,0.8550124,1.1121489,0.5390399,0.36679348,0.99444956,0.35553464,0.88334155,0.9453185,0.45529637,0.51220274,0.8433695,0.41126743,0.7188205,0.83565736,0.43348765,0.53525466,0.45994768,0.44405222,0.7136951,0.4492037,0.46831036,0.5461509,0.084430605,0.4921864,0.6904869,0.08494682,0.51453644,0.5482077,0.023664342,0.3602402,0.494143,0.022688024,0.40532604,0.5594798,0.028137853,0.5597339,0.70922685,0.014637156,0.4131963,0.75464755,0.017321067,0.45612547,0.65548116,0.03544645,0.559274
56,0.62515825,1.5939316,0.33332947,0.5911936,1.6257629,0.33842862,0.6570084,1.6227094,0.34855214,0.53772306,1.5958471,0.4042094,0.6970604,1.5911304,0.4128015,0.4447206,1.3912636,0.44912395,0.7749366,1.3636373,0.503599,0.37915346,1.1447612,0.44185257,0.85379815,1.1070968,0.53920835,0.3685539,0.99292547,0.3522903,0.8829222,0.9385977,0.45478,0.5107947,0.8420768,0.4079305,0.7170972,0.83341366,0.43014935,0.5353451,0.45939302,0.44382384,0.71521837,0.44782516,0.4678197,0.5460821,0.08340708,0.4916904,0.68913585,0.08299918,0.518052,0.5488787,0.022794714,0.36378002,0.49675623,0.02190019,0.40846834,0.5582705,0.024287857,0.5631817,0.70744115,0.016238363,0.40997398,0.7527916,0.018913338,0.45287585,0.6560399,0.033608403,0.56246924
57,0.62679833,1.5958967,0.32934782,0.5911549,1.6248232,0.33450136,0.657521,1.6212507,0.3481898,0.537411,1.5945164,0.40326872,0.6986298,1.5902857,0.4084694,0.44644928,1.389444,0.44760266,0.7734959,1.3617171,0.5031053,0.38140067,1.1431147,0.43696654,0.8512514,1.1038592,0.5382684,0.37148783,0.986265,0.35095534,0.88072985,0.93437785,0.45069656,0.51163286,0.8413759,0.40712544,0.71938515,0.8308699,0.42910513,0.5362533,0.4576018,0.4428041,0.71516293,0.44577456,0.463106,0.5464936,0.08373789,0.49391785,0.68676305,0.083051495,0.5169413,0.5504443,0.023135671,0.36240026,0.49760476,0.022101125,0.4076494,0.557461,0.022919985,0.56917626,0.7106598,0.015614717,0.4083569,0.7529481,0.017346716,0.4553803,0.65440315,0.032989874,0.56488866
58,0.62641907,1.5932022,0.3319569,0.59080505,1.6230034,0.3370882,0.65710086,1.6203424,0.35091367,0.5375049,1.5922961,0.40238824,0.69856477,1.5879778,0.40776846,0.44671878,1.3875031,0.4464415,0.77296895,1.359301,0.5056316,0.38460112,1.1368626,0.43558338,0.84817845,1.1004292,0.53739476,0.37417945,0.9779971,0.34591913,0.8795064,0.9265073,0.4494771,0.5135892,0.84133345,0.4059246,0.7189083,0.83015615,0.43167296,0.53566676,0.4569501,0.43805242,0.71461135,0.4456679,0.46565714,0.54629123,0.083137155,0.49624607,0.68781996,0.08184776,0.52229273,0.54897714,0.02184186,0.36865878,0.49671492,0.022479521,0.40621743,0.5550173,0.023933642,0.56448096,0.7104614,0.016874852,0.40755615,0.7546256,0.017649243,0.4542712,0.65364236,0.03084828,0.57023853
